open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1672531200000,16537.50,16540.90,16504.00,16527.00,5381.399,1672534799999,88923087.83210,31529,2541.791,42000649.27240,0
1672534800000,16527.10,16554.30,16524.10,16550.40,3210.826,1672538399999,53098548.75440,19787,1933.859,31982248.92900,0
1672538400000,16550.50,16557.10,16534.80,16542.40,2399.668,1672541999999,39704662.67730,15720,1156.721,19138960.92470,0
1672542000000,16542.50,16542.50,16515.00,16529.30,3214.480,1672545599999,53120600.93400,19341,1430.403,23637732.16210,0
1672545600000,16529.20,16530.40,16508.80,16517.80,3150.954,1672549199999,52048231.84870,20937,1583.098,26150126.58160,0
1672549200000,16517.80,16531.10,16508.00,16525.70,3268.293,1672552799999,53976906.11620,18908,1578.995,26079452.13890,0
1672552800000,16525.60,16545.70,16525.60,16535.30,2726.582,1672556399999,45090264.44770,17606,1340.462,22167277.24720,0
1672556400000,16535.30,16537.50,16488.00,16519.60,8852.672,1672559999999,146166430.70870,36399,3911.189,64580552.98870,0
1672560000000,16519.50,16524.90,16502.00,16504.20,3289.761,1672563599999,54320341.59470,21586,1313.228,21683585.49070,0
1672563600000,16504.30,16536.10,16496.80,16532.70,3948.702,1672567199999,65217230.19760,26147,2127.739,35143996.94670,0
1672567200000,16532.70,16542.90,16527.30,16542.80,4110.425,1672570799999,67964331.25390,21729,2012.438,33275735.39670,0
1672570800000,16542.90,16549.80,16535.10,16549.80,3768.388,1672574399999,62340191.56100,22386,1939.090,32079075.17690,0
1672574400000,16549.80,16565.90,16542.90,16553.90,5482.001,1672577999999,90744679.24230,28280,2548.225,42182805.80110,0
1672578000000,16553.80,16559.80,16530.50,16539.90,4505.256,1672581599999,74527749.14550,24250,1971.139,32606322.87960,0
1672581600000,16539.90,16549.70,16533.10,16533.10,2448.444,1672585199999,40503002.33820,18363,1175.123,19439837.33400,0
1672585200000,16533.20,16553.10,16524.60,16553.10,3107.183,1672588799999,51385027.60740,19408,1786.176,29541345.63540,0
1672588800000,16553.00,16579.00,16552.60,16556.00,7482.092,1672592399999,123929105.33930,37350,4177.482,69195765.20630,0
1672592400000,16556.10,16589.40,16555.50,16573.10,6126.892,1672595999999,101553540.08210,31957,3353.049,55576781.22790,0
1672596000000,16573.10,16597.00,16573.00,16584.30,4955.635,1672599599999,82199321.94010,26757,2603.403,43182654.53820,0
1672599600000,16584.30,16615.80,16584.20,16596.10,7406.797,1672603199999,122974267.85250,37463,4065.484,67500264.32410,0
1672603200000,16596.10,16618.80,16592.00,16593.80,4951.995,1672606799999,82228731.14050,28762,2369.029,39339458.14380,0
1672606800000,16593.70,16599.70,16584.10,16597.60,3040.626,1672610399999,50451079.86640,21602,1297.005,21520684.94560,0
1672610400000,16597.60,16605.40,16579.10,16594.40,3633.682,1672613999999,60289616.81690,22001,1871.039,31044201.61380,0
1672614000000,16594.40,16617.40,16594.40,16610.30,5040.212,1672617599999,83692900.44170,26031,2531.342,42033191.91850,0
1672617600000,16610.40,16618.40,16572.90,16578.00,5774.202,1672621199999,95811324.31030,31939,2375.994,39425381.53800,0
1672621200000,16578.00,16579.30,16541.20,16556.50,9532.229,1672624799999,157820380.90280,41242,4196.044,69471273.19510,0
1672624800000,16556.50,16587.10,16547.50,16580.40,3292.203,1672628399999,54553046.50860,18335,1981.152,32829531.05290,0
1672628400000,16580.40,16700.70,16575.00,16654.60,18043.112,1672631999999,300438253.78720,73808,10745.894,178924679.97250,0
1672632000000,16654.70,16665.00,16621.80,16631.80,8205.467,1672635599999,136543632.68240,42048,3633.568,60465817.31080,0
1672635600000,16631.80,16653.80,16612.80,16640.00,6882.642,1672639199999,114468548.00270,31804,3570.267,59380224.41540,0
1672639200000,16640.10,16654.80,16627.80,16632.40,4079.990,1672642799999,67889389.11280,22546,1955.519,32538256.90620,0
1672642800000,16632.50,16767.80,16630.80,16712.50,34167.373,1672646399999,571218045.36234,137037,18320.301,306284725.87484,0
1672646400000,16712.60,16764.00,16701.00,16724.50,15067.451,1672649999999,252120809.88470,67239,7632.229,127714919.32770,0
1672650000000,16724.60,16735.90,16705.10,16710.00,7428.434,1672653599999,124193608.18890,39345,3421.799,57208632.98250,0
1672653600000,16710.00,16759.80,16703.20,16720.20,8279.414,1672657199999,138498926.65700,40714,4351.107,72791366.61060,0
1672657200000,16720.10,16734.00,16696.00,16728.50,6775.332,1672660799999,113250826.97070,35585,3224.768,53908574.33790,0
1672660800000,16728.40,16736.10,16713.00,16713.20,4678.572,1672664399999,78248923.26320,30892,2250.570,37641378.77720,0
1672664400000,16713.20,16716.50,16674.30,16687.80,10046.081,1672667999999,167731505.20270,50166,4387.067,73250163.97990,0
1672668000000,16687.70,16702.50,16665.00,16694.80,8935.589,1672671599999,149107842.71570,40176,4877.748,81398183.42940,0
1672671600000,16694.70,16744.80,16688.40,16729.20,12200.994,1672675199999,203976877.21310,56813,6741.422,112700663.10040,0
1672675200000,16729.20,16732.90,16704.00,16704.10,6548.028,1672678799999,109495870.29040,30690,2533.872,42370692.86290,0
1672678800000,16704.10,16716.50,16702.60,16710.10,4115.314,1672682399999,68756317.93000,21280,1945.752,32509575.42690,0
1672682400000,16710.00,16725.80,16703.90,16718.30,3188.873,1672685999999,53293242.17320,19523,1846.652,30862647.44950,0
1672686000000,16718.30,16732.10,16711.10,16730.50,2697.782,1672689599999,45109236.65660,17084,1520.321,25421632.68120,0
1672689600000,16730.50,16732.00,16702.70,16722.80,3836.094,1672693199999,64133889.60680,20797,1855.721,31023657.66100,0
1672693200000,16722.70,16799.00,16715.00,16751.90,9106.205,1672696799999,152574036.11340,40570,5750.746,96361074.83720,0
1672696800000,16751.90,16755.70,16685.10,16694.60,10723.212,1672700399999,179269255.70860,55876,4623.017,77282965.74700,0
1672700400000,16694.60,16717.40,16650.00,16666.00,11556.583,1672703999999,192850515.10830,54506,4730.595,78957950.66160,0
1672704000000,16665.90,16699.70,16639.50,16689.10,8954.360,1672707599999,149294774.82590,42606,4720.465,78712328.97000,0
1672707600000,16689.00,16689.10,16645.50,16670.50,6321.721,1672711199999,105337309.96330,33781,2886.846,48101025.03760,0
1672711200000,16670.40,16680.00,16665.20,16666.50,2974.963,1672714799999,49603015.21980,18037,1498.826,24991064.99570,0
1672714800000,16666.50,16694.00,16661.50,16684.50,3801.419,1672718399999,63403651.41160,20382,2180.640,36371097.84500,0
1672718400000,16684.40,16691.20,16675.20,16678.00,2331.004,1672721999999,38888347.72570,15680,1038.926,17333069.37870,0
1672722000000,16677.90,16721.90,16677.70,16720.00,5682.914,1672725599999,94910769.08110,31130,3259.213,54433208.69190,0
1672725600000,16720.00,16774.00,16717.70,16719.80,14948.156,1672729199999,250239726.04130,62902,7835.124,131169561.64100,0
1672729200000,16719.80,16726.40,16700.60,16723.10,6435.281,1672732799999,107564452.57260,30882,3113.970,52049777.67070,0
1672732800000,16723.10,16728.90,16691.70,16710.00,6822.343,1672736399999,113987676.31300,35140,2772.980,46330165.73020,0
1672736400000,16710.10,16750.50,16710.00,16732.90,6532.910,1672739999999,109311376.10190,32718,3569.060,59718058.53340,0
1672740000000,16732.90,16740.90,16716.00,16718.30,4774.934,1672743599999,79882695.98470,24705,2353.549,39374468.53480,0
1672743600000,16718.20,16729.80,16703.00,16714.20,3878.215,1672747199999,64836587.09210,22540,1886.745,31542594.17020,0
1672747200000,16714.20,16721.20,16695.70,16703.70,6066.134,1672750799999,101358402.08740,30552,2617.247,43734645.78330,0
1672750800000,16703.80,16732.20,16703.70,16718.10,5633.080,1672754399999,94175339.33350,31127,2789.927,46643277.02170,0
1672754400000,16718.20,16764.90,16633.00,16653.10,33040.987,1672757999999,551987876.28660,127486,15374.287,256948646.48290,0
1672758000000,16653.10,16674.90,16610.00,16670.80,29071.069,1672761599999,483862203.37240,119901,14193.113,236252201.44590,0
1672761600000,16670.90,16680.10,16606.00,16617.30,14840.489,1672765199999,246975825.54640,69448,7253.841,120722956.19950,0
1672765200000,16617.30,16637.00,16600.30,16626.00,9304.479,1672768799999,154632825.97050,46488,4614.001,76683064.11010,0
1672768800000,16626.10,16645.80,16621.20,16637.70,5468.815,1672772399999,90971698.46130,29859,2915.967,48506856.69100,0
1672772400000,16637.60,16652.00,16615.10,16637.70,5505.693,1672775999999,91574306.28300,30699,2983.637,49628269.49230,0
1672776000000,16637.60,16665.80,16636.00,16656.10,6661.503,1672779599999,110930494.23260,34302,3442.540,57326069.36500,0
1672779600000,16656.00,16665.70,16652.40,16658.80,3880.582,1672783199999,64648543.84790,20777,1809.245,30140991.40980,0
1672783200000,16658.80,16673.00,16642.90,16670.10,4068.634,1672786799999,67764191.98320,24066,1949.911,32479064.29660,0
1672786800000,16670.20,16688.20,16660.20,16667.20,6070.520,1672790399999,101226619.77660,31605,3190.258,53200554.89320,0
1672790400000,16667.30,16668.40,16645.70,16655.60,4299.783,1672793999999,71632931.53370,24459,1989.550,33144093.93570,0
1672794000000,16655.60,16730.00,16652.30,16696.10,14283.553,1672797599999,238573399.27230,67570,7817.667,130570555.35630,0
1672797600000,16696.10,16749.80,16695.50,16729.00,10777.263,1672801199999,180263848.23450,52129,6005.731,100454501.86810,0
1672801200000,16729.10,16870.00,16729.00,16855.90,40719.495,1672804799999,684601580.68610,162742,22463.658,377682718.78280,0
1672804800000,16855.90,16904.40,16841.00,16852.40,20900.843,1672808399999,352553580.52230,94418,9611.295,162142676.84690,0
1672808400000,16852.50,16856.50,16832.30,16848.30,7856.390,1672811999999,132319429.50200,39749,3753.247,63212924.63590,0
1672812000000,16848.30,16872.90,16842.20,16872.90,6521.234,1672815599999,109911193.94950,35791,3383.398,57027897.10390,0
1672815600000,16872.80,16885.40,16841.10,16862.50,9605.247,1672819199999,161938450.26520,47207,4477.001,75481167.76640,0
1672819200000,16862.50,16913.60,16826.70,16857.10,18658.974,1672822799999,314663687.39720,81848,10080.351,170023834.75820,0
1672822800000,16857.10,16860.40,16824.50,16838.90,6614.273,1672826399999,111422782.50210,36026,3171.783,53432239.33280,0
1672826400000,16838.90,16840.90,16826.10,16838.00,4847.863,1672829999999,81608332.72990,28367,2276.908,38330039.72790,0
1672830000000,16837.90,16847.40,16826.20,16826.80,4561.085,1672833599999,76804037.76730,27030,2087.029,35144946.69570,0
1672833600000,16826.70,16838.70,16800.10,16808.00,10884.695,1672837199999,183072436.17300,49883,5390.094,90661599.86610,0
1672837200000,16808.00,16829.80,16804.30,16820.10,5583.459,1672840799999,93905522.47570,29839,2874.403,48342329.07980,0
1672840800000,16820.20,16852.10,16789.00,16821.00,15888.621,1672844399999,267207662.56090,79532,8267.843,139058512.85150,0
1672844400000,16820.90,16850.40,16759.30,16846.50,28117.369,1672847999999,472450669.65570,125543,14079.782,236601582.89210,0
1672848000000,16846.50,16890.80,16824.30,16850.70,18406.970,1672851599999,310315960.81090,83936,9406.534,158587743.30110,0
1672851600000,16850.80,16945.60,16841.80,16885.40,20882.503,1672855199999,352866979.34510,93654,11419.591,192977325.94650,0
1672855200000,16885.40,16980.00,16864.00,16942.00,23539.176,1672858799999,398557259.03093,109565,12275.410,207850418.90343,0
1672858800000,16941.90,16984.60,16777.70,16835.90,46623.188,1672862399999,786218899.38950,190231,21846.176,368374307.10590,0
1672862400000,16835.90,16844.20,16766.00,16801.20,14545.323,1672865999999,244456776.99450,67250,6891.909,115851030.72740,0
1672866000000,16801.10,16820.40,16789.10,16819.40,5258.686,1672869599999,88384808.95430,30161,2831.815,47595539.28930,0
1672869600000,16819.30,16837.20,16808.50,16818.70,3870.981,1672873199999,65117551.72630,24206,2015.495,33906924.01830,0
1672873200000,16818.70,16860.90,16807.30,16842.10,6500.864,1672876799999,109479020.31030,37175,3336.455,56188560.32350,0
1672876800000,16842.20,16869.00,16817.40,16819.90,8299.923,1672880399999,139832119.18170,39932,3770.869,63538127.78880,0
